timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
24143000,0,32767,32767,32767,32767,32767
24147000,0,32767,32767,32767,32767,32767
24151000,0,32767,32767,32767,0,32767
24155000,0,32767,32767,32767,32767,32767
24159000,0,32767,32767,32767,32767,32767
24163000,0,32767,32767,32767,32767,32767
24167000,0,32767,32767,32767,32767,32767
24171000,0,32767,32767,32767,0,32767
24175000,0,32767,32767,32767,32767,32767
24179000,0,32767,32767,32767,32767,32767
24183000,0,32767,32767,32767,32767,32767
24187000,0,32767,32767,32767,40,32767
24191000,0,32767,32767,0,32767,32767
24195000,0,32767,32767,32767,32767,32767
24199000,0,32767,32767,32767,32767,32767
24203000,0,32767,32767,32767,32767,32767
24207000,0,32767,32767,32767,32767,32767
24211000,0,32767,32767,32767,0,32767
24215000,0,32767,32767,32767,32767,32767
24219000,0,32767,32767,32767,32767,32767
24223000,0,32767,32767,32767,32767,32767
24227000,0,32767,32767,32767,32767,32767
24231000,0,32767,32767,32767,0,32767
24235000,0,32767,32767,32767,32767,32767
24239000,0,32767,32767,32767,32767,32767
24243000,0,32767,32767,0,32767,32767
24247000,0,32767,32767,32767,32767,32767
24251000,0,32767,32767,32767,0,32767
24255000,0,32767,32767,32767,32767,32767
24259000,32767,32767,32767,32767,32767,32767
24263000,0,32767,32767,32767,32767,32767
24267000,0,32767,32767,32767,32767,32767
24271000,40,32767,32767,32767,0,32767
24275000,32767,32767,32767,32767,32767,32767
24279000,0,32767,32767,32767,32767,32767
24283000,0,32767,32767,32767,32767,32767
24287000,0,32767,32767,32767,32767,32767
24291000,0,32767,32767,32767,0,32767
24295000,0,32767,32767,0,32767,32767
24299000,0,32767,32767,32767,32767,32767
24303000,0,32767,32767,32767,32767,32767
24307000,40,32767,32767,32767,40,32767
24311000,32767,32767,32767,32767,32767,32767
24315000,0,32767,32767,32767,32767,32767
24319000,0,32767,32767,32767,32767,32767
24323000,0,32767,32767,32767,32767,32767
24327000,0,32767,32767,32767,32767,32767
24331000,0,32767,32767,32767,0,32767
24335000,0,32767,32767,32767,32767,32767
24339000,0,32767,32767,32767,32767,32767
24343000,0,32767,32767,32767,32767,32767
24347000,0,32767,32767,0,32767,32767
24351000,0,32767,32767,32767,0,32767
24355000,0,32767,32767,32767,32767,32767
24359000,0,32767,32767,32767,32767,32767
24363000,0,32767,32767,32767,32767,32767
24367000,0,32767,32767,32767,32767,32767
24371000,0,32767,32767,32767,0,32767
24375000,0,32767,32767,32767,32767,32767
24379000,0,32767,32767,32767,32767,32767
24383000,0,32767,32767,32767,32767,32767
24387000,0,32767,32767,32767,32767,32767
24391000,0,32767,32767,32767,0,32767
24395000,0,32767,32767,32767,32767,32767
24399000,0,32767,32767,0,32767,32767
24403000,0,32767,32767,32767,32767,32767
24407000,0,32767,32767,32767,32767,32767
24411000,0,32767,32767,32767,0,32767
24415000,0,32767,32767,32767,32767,32767
24419000,0,32767,32767,32767,32767,32767
24423000,0,32767,32767,32767,32767,32767
24427000,0,32767,32767,32767,32767,32767
24431000,0,32767,32767,32767,0,32767
24443000,0,32767,32767,32767,32767,32767
24447000,0,32767,32767,32767,32767,32767
24451000,0,32767,32767,0,0,32767
24455000,0,32767,32767,32767,32767,32767
24459000,0,32767,32767,32767,32767,32767
24463000,40,32767,32767,32767,32767,32767
24467000,32767,32767,32767,32767,32767,32767
24471000,0,32767,32767,32767,0,32767
24475000,0,32767,32767,32767,32767,32767
24479000,40,32767,32767,32767,32767,32767
24483000,32767,32767,32767,32767,32767,32767
24487000,0,32767,32767,32767,40,32767
24491000,32767,32767,32767,32767,32767,32767
24495000,0,32767,32767,32767,32767,32767
24499000,0,32767,32767,32767,32767,32767
24503000,40,32767,32767,0,32767,32767
24507000,32767,32767,32767,32767,32767,32767
24511000,0,32767,32767,32767,0,32767
24515000,0,32767,32767,32767,32767,32767
24519000,0,32767,32767,32767,32767,32767
24523000,0,32767,32767,32767,32767,32767
24527000,32767,32767,32767,32767,32767,32767
24531000,0,32767,32767,32767,0,32767
24535000,0,32767,32767,32767,32767,32767
24539000,0,32767,32767,32767,32767,32767
24543000,0,32767,32767,32767,32767,32767
24547000,0,32767,32767,32767,32767,32767
24551000,0,32767,32767,32767,0,32767
24555000,0,32767,32767,0,32767,32767
24559000,0,32767,32767,32767,32767,32767
24563000,0,32767,32767,32767,32767,32767
24567000,0,32767,32767,32767,32767,32767
24571000,0,32767,32767,32767,0,32767
24575000,0,32767,32767,32767,32767,32767
24579000,0,32767,32767,32767,32767,32767
24583000,0,32767,32767,32767,32767,32767
24587000,0,32767,32767,32767,40,32767
24591000,0,32767,32767,32767,32767,32767
24595000,0,32767,32767,32767,32767,32767
24599000,0,32767,32767,32767,32767,32767
24603000,0,32767,32767,32767,32767,32767
24607000,0,32767,32767,0,40,32767
24611000,0,32767,32767,32767,32767,32767
24615000,0,32767,32767,32767,32767,32767
24619000,0,32767,32767,32767,32767,32767
24623000,0,32767,32767,32767,32767,32767
24627000,0,32767,32767,32767,32767,32767
24631000,0,32767,32767,32767,0,32767
24635000,0,32767,32767,32767,32767,32767
24639000,0,32767,32767,32767,32767,32767
24643000,0,32767,32767,32767,32767,32767
24647000,0,32767,32767,32767,32767,32767
24651000,0,32767,32767,32767,0,32767
24655000,0,32767,32767,32767,32767,32767
24659000,0,32767,32767,0,32767,32767
24663000,0,32767,32767,32767,32767,32767
24667000,0,32767,32767,32767,32767,32767
24671000,0,32767,32767,32767,0,32767
24675000,0,32767,32767,32767,32767,32767
24679000,0,32767,32767,32767,32767,32767
24683000,0,32767,32767,32767,32767,32767
24687000,0,32767,32767,32767,32767,32767
24691000,0,32767,32767,32767,0,32767
24695000,0,32767,32767,32767,32767,32767
24699000,0,32767,32767,32767,32767,32767
24703000,0,32767,32767,32767,32767,32767
24707000,0,32767,32767,32767,32767,32767
24711000,0,32767,32767,0,0,32767
24715000,0,32767,32767,32767,32767,32767
24719000,32767,32767,32767,32767,32767,32767
24723000,0,32767,32767,32767,32767,32767
24727000,0,32767,32767,32767,40,32767
24731000,0,32767,32767,32767,32767,32767
24735000,0,32767,32767,32767,32767,32767
24739000,0,32767,32767,32767,32767,32767
24743000,32767,32767,32767,32767,32767,32767
24747000,0,32767,32767,32767,32767,32767
24751000,0,32767,32767,32767,0,32767
24755000,0,32767,32767,32767,32767,32767
24759000,0,32767,32767,32767,32767,32767
24763000,0,32767,32767,0,32767,32767
24767000,0,32767,32767,32767,32767,32767
24771000,0,32767,32767,32767,0,32767
24775000,0,32767,32767,32767,32767,32767
24779000,0,32767,32767,32767,32767,32767
24783000,32767,32767,32767,32767,32767,32767
24787000,0,32767,32767,32767,32767,32767
24791000,0,32767,32767,32767,0,32767
24795000,0,32767,32767,32767,32767,32767
24799000,0,32767,32767,32767,32767,32767
24803000,0,32767,32767,32767,32767,32767
24807000,0,32767,32767,32767,32767,32767
24811000,0,32767,32767,32767,0,32767
24815000,0,32767,32767,0,32767,32767
24819000,0,32767,32767,32767,32767,32767
24823000,0,32767,32767,32767,32767,32767
24827000,0,32767,32767,32767,32767,32767
24831000,0,32767,32767,32767,0,32767
24835000,0,32767,32767,32767,32767,32767
24839000,0,32767,32767,32767,32767,32767
24843000,0,32767,32767,32767,32767,32767
24847000,0,32767,32767,32767,32767,32767
24851000,0,32767,32767,32767,0,32767
24855000,0,32767,32767,32767,32767,32767
24859000,0,32767,32767,32767,32767,32767
24863000,0,32767,32767,32767,32767,32767
24867000,0,32767,32767,0,40,32767
24871000,0,32767,32767,32767,32767,32767
24875000,0,32767,32767,32767,32767,32767
24879000,0,32767,32767,32767,32767,32767
24883000,0,32767,32767,32767,32767,32767
24887000,0,32767,32767,32767,32767,32767
24891000,0,32767,32767,32767,0,32767
24895000,0,32767,32767,32767,32767,32767
24899000,0,32767,32767,32767,32767,32767
24903000,0,32767,32767,32767,32767,32767
24907000,32767,32767,32767,32767,32767,32767
24911000,0,32767,32767,32767,0,32767
24915000,0,32767,32767,40,32767,32767
24919000,0,32767,32767,32767,32767,32767
24923000,0,32767,32767,32767,32767,32767
24927000,0,32767,32767,32767,32767,32767
24931000,0,32767,32767,32767,0,32767
24935000,0,32767,32767,32767,32767,32767
24941000,0,32767,32767,32767,32767,32767
24945000,0,32767,32767,32767,32767,32767
24949000,32767,32767,32767,32767,40,32767
24953000,0,32767,32767,32767,32767,32767
24957000,0,32767,32767,32767,32767,32767
24961000,0,32767,32767,32767,32767,32767
24965000,0,32767,32767,32767,32767,32767
24969000,32767,32767,32767,0,32767,32767
24973000,0,32767,32767,32767,0,32767
24977000,0,32767,32767,32767,32767,32767
24981000,0,32767,32767,32767,32767,32767
24985000,0,32767,32767,32767,32767,32767
24989000,0,32767,32767,32767,32767,32767
24993000,0,32767,32767,32767,0,32767
24997000,0,32767,32767,32767,32767,32767
25001000,0,32767,32767,32767,32767,32767
25005000,0,32767,32767,32767,32767,32767
25009000,32767,32767,32767,32767,32767,32767
25013000,-40,32767,32767,32767,0,32767
25017000,0,32767,32767,32767,32767,32767
25021000,0,32767,32767,0,32767,32767
25025000,32767,32767,32767,32767,32767,32767
25029000,0,32767,32767,32767,32767,32767
25033000,0,32767,32767,32767,0,32767
25037000,0,32767,32767,32767,32767,32767
25041000,0,32767,32767,32767,32767,32767
25045000,0,32767,32767,32767,32767,32767
25049000,0,32767,32767,32767,32767,32767
25053000,32767,32767,32767,32767,0,32767
25057000,0,32767,32767,32767,32767,32767
25061000,0,32767,32767,32767,32767,32767
25065000,0,32767,32767,32767,32767,32767
25069000,0,32767,32767,32767,32767,32767
25073000,0,32767,32767,0,0,32767
