timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
29899000,1310996,1310988,1310996,1311004,0,0.0026604482,0.005113987,0.0027889942,0.0,1310996,1310988,1310996,1311004,0,0.0003778255,0.0003864477,0.00027807444,0.0,1,1,1,0,1,1,1,0
30103000,1310996,1310988,1310996,1311004,0,0.0031156556,0.0053765024,0.0032377904,0.0,1310996,1310988,1310996,1311004,0,0.000279712,4.533347e-05,0.00026418423,0.0,1,1,1,0,1,1,1,0
30303000,1310996,1310988,1310996,1311004,0,0.0066545657,0.0012042155,0.005453683,0.0,1310996,1310988,1310996,1311004,0,0.0002776115,6.299458e-05,0.0002885154,0.0,1,1,1,0,1,1,1,0
30504000,1310996,1310988,1310996,1311004,0,0.001859393,0.0015113526,0.0027793695,0.0,1310996,1310988,1310996,1311004,0,0.00038313793,0.00025867327,0.00013670395,0.0,1,1,1,0,1,1,1,0
30704000,1310996,1310988,1310996,1311004,0,0.0021982999,0.0025962158,0.0009521921,0.0,1310996,1310988,1310996,1311004,0,0.0004273171,0.00020999776,0.00022974219,0.0,1,1,1,0,1,1,1,0
30902000,1310996,1310988,1310996,1311004,0,0.0009545605,0.0025605753,0.0028300935,0.0,1310996,1310988,1310996,1311004,0,0.00039245104,0.00024247971,0.00021111984,0.0,1,1,1,0,1,1,1,0
31099000,1310996,1310988,1310996,1311004,0,0.0022817496,0.004565065,0.0025934316,0.0,1310996,1310988,1310996,1311004,0,0.00026260113,0.00011490186,0.0001951361,0.0,1,1,1,0,1,1,1,0
31303000,1310996,1310988,1310996,1311004,0,0.0032454699,0.0030954718,0.002828504,0.0,1310996,1310988,1310996,1311004,0,0.00043077537,0.000454035,0.00017022908,0.0,1,1,1,0,1,1,1,0
31501000,1310996,1310988,1310996,1311004,0,0.00164135,0.004533217,0.0054720105,0.0,1310996,1310988,1310996,1311004,0,0.00017487153,0.0001940908,0.00036377527,0.0,1,1,1,0,1,1,1,0
31702000,1310996,1310988,1310996,1311004,0,0.0022699402,0.00310574,0.005019224,0.0,1310996,1310988,1310996,1311004,0,0.00041700635,0.0002519868,0.00030319428,0.0,1,1,1,0,1,1,1,0
31902000,1310996,1310988,1310996,1311004,0,0.003255243,0.0009406205,0.004011402,0.0,1310996,1310988,1310996,1311004,0,0.00022992973,0.000118432064,0.00016958671,0.0,1,1,1,0,1,1,1,0
32098000,1310996,1310988,1310996,1311004,0,0.002025375,0.0013645672,0.0033197233,0.0,1310996,1310988,1310996,1311004,0,0.00031218154,2.951167e-05,0.0003398688,0.0,1,1,1,0,1,1,1,0
32302000,1310996,1310988,1310996,1311004,0,0.002036451,0.0021742086,0.0015284343,0.0,1310996,1310988,1310996,1311004,0,0.0002806571,0.0002166873,0.00015890478,0.0,1,1,1,0,1,1,1,0
32504000,1310996,1310988,1310996,1311004,0,0.0024165486,0.0017150925,0.0034524417,0.0,1310996,1310988,1310996,1311004,0,0.0004256265,0.00032024295,0.00031884326,0.0,1,1,1,0,1,1,1,0
32705000,1310996,1310988,1310996,1311004,0,0.001837814,0.0020960337,0.0012928267,0.0,1310996,1310988,1310996,1311004,0,0.00038122895,9.982248e-05,0.00038320562,0.0,1,1,1,0,1,1,1,0
32898000,1310996,1310988,1310996,1311004,0,0.0037487329,0.0025873156,0.006128991,0.0,1310996,1310988,1310996,1311004,0,0.00046547796,0.00023926773,0.00041965643,0.0,1,1,1,0,1,1,1,0
33102000,1310996,1310988,1310996,1311004,0,0.0026456022,0.0023568464,0.0029702403,0.0,1310996,1310988,1310996,1311004,0,0.00033932377,0.00022015689,0.00017410476,0.0,1,1,1,0,1,1,1,0
33303000,1310996,1310988,1310996,1311004,0,0.005367396,0.00064037135,0.0051947325,0.0,1310996,1310988,1310996,1311004,0,0.00041573585,0.00014359994,0.00028954018,0.0,1,1,1,0,1,1,1,0
33502000,1310996,1310988,1310996,1311004,0,0.0034486165,0.0017664935,0.0052129123,0.0,1310996,1310988,1310996,1311004,0,0.0004520426,0.0002965325,0.00023551998,0.0,1,1,1,0,1,1,1,0
33702000,1310996,1310988,1310996,1311004,0,0.0075325225,0.002058369,0.008678301,0.0,1310996,1310988,1310996,1311004,0,0.00070825155,0.0006819066,0.0004859604,0.0,1,1,1,0,1,1,1,0
33901000,1310996,1310988,1310996,1311004,0,0.0038935898,0.0028460023,0.006290507,0.0,1310996,1310988,1310996,1311004,0,0.00042375567,0.00034245694,0.0004229192,0.0,1,1,1,0,1,1,1,0
34102000,1310996,1310988,1310996,1311004,0,0.005709481,0.0015523274,0.004351683,0.0,1310996,1310988,1310996,1311004,0,0.0006901785,0.00042695669,0.0002867472,0.0,1,1,1,0,1,1,1,0
34302000,1310996,1310988,1310996,1311004,0,0.0024867174,0.0060006166,0.008389034,0.0,1310996,1310988,1310996,1311004,0,0.0005166032,0.00028515077,0.000535361,0.0,1,1,1,0,1,1,1,0
34503000,1310996,1310988,1310996,1311004,0,0.003391088,0.00124418,0.0033082438,0.0,1310996,1310988,1310996,1311004,0,0.00041034096,0.00030612803,0.0001748201,0.0,1,1,1,0,1,1,1,0
34703000,1310996,1310988,1310996,1311004,0,0.0011848984,0.0010818574,0.0011547946,0.0,1310996,1310988,1310996,1311004,0,0.0005379208,0.0002153935,0.00037584428,0.0,1,1,1,0,1,1,1,0
